CE-CO,CE-PM10,julian_day,hour
16.151098901098898,106.31593406593403,1,0
17.230769230769226,107.8241758241758,1,1
17.747752247752242,109.18031968031966,1,2
17.79820179820179,110.4175824175824,1,3
17.47827172827172,111.56918081918079,1,4
16.88411588411588,112.66833166833163,1,5
16.111888111888064,113.74825174825139,1,6
15.293706293706247,114.99999999999964,1,7
14.573426573426527,116.16083916083879,1,8
14.020979020978977,117.49650349650312,1,9
13.73426573426569,118.88811188811152,1,10
13.335664335664294,120.24475524475488,1,11
12.755244755244716,121.34965034964998,1,12
12.244755244755208,122.38461538461499,1,13
11.580419580419544,123.22377622377584,1,14
11.01398601398598,123.69230769230731,1,15
10.32167832167829,123.87412587412547,1,16
9.510489510489482,123.63636363636323,1,17
8.741258741258713,123.19580419580382,1,18
8.174825174825148,122.7972027972024,1,19
7.741258741258717,122.391608391608,1,20
7.370629370629347,122.11188811188774,1,21
7.132867132867111,121.72027972027934,1,22
6.853146853146832,121.30069930069892,1,23
6.5104895104894895,120.56643356643319,2,0
6.160839160839141,119.68531468531432,2,1
5.846153846153827,118.45454545454508,2,2
5.594405594405576,116.7622377622374,2,3
5.419580419580402,114.98601398601363,2,4
5.398601398601381,113.19580419580385,2,5
5.454545454545437,111.50349650349617,2,6
5.741258741258723,109.6433566433563,2,7
6.076923076923057,106.9230769230766,2,8
6.5104895104894895,102.77622377622346,2,9
7.090909090909069,97.86013986013954,2,10
7.468531468531445,92.51048951048921,2,11
7.615384615384592,86.81818181818156,2,12
7.6573426573426335,80.56643356643332,2,13
7.720279720279697,74.72027972027948,2,14
7.699300699300675,69.94405594405572,2,15
7.73426573426571,66.58041958041937,2,16
7.6573426573426335,64.202797202797,2,17
7.608391608391585,62.95804195804176,2,18
7.650349650349627,62.30069930069911,2,19
7.846153846153822,61.62237762237743,2,20
8.244755244755218,60.67832167832149,2,21
8.664335664335637,60.30069930069911,2,22
8.923076923076895,59.95804195804176,2,23
8.993006993006965,59.78321678321659,3,0
9.167832167832138,59.440559440559255,3,1
9.342657342657313,59.916083916083736,3,2
9.48951048951046,61.090909090908895,3,3
9.503496503496475,62.17482517482498,3,4
9.510489510489482,63.10489510489491,3,5
9.713286713286683,64.4965034965033,3,6
9.853146853146821,66.16783216783196,3,7
10.083916083916051,67.6153846153844,3,8
10.405594405594373,69.33566433566412,3,9
10.496503496503465,70.78321678321656,3,10
10.510489510489478,72.34965034965012,3,11
10.293706293706261,73.9370629370627,3,12
10.104895104895075,75.41258741258717,3,13
9.664335664335635,77.13286713286689,3,14
9.167832167832138,78.45454545454521,3,15
8.643356643356617,78.93006993006968,3,16
8.28671328671326,79.46153846153821,3,17
8.062937062937037,79.86013986013961,3,18
7.9230769230768985,80.04195804195778,3,19
7.8181818181817935,79.8461538461536,3,20
7.790209790209767,79.86013986013961,3,21
7.790209790209767,81.50349650349624,3,22
7.769230769230745,81.48251748251724,3,23
7.524475524475502,79.99300699300676,4,0
7.314685314685292,77.3566433566431,4,1
6.909090909090887,73.75524475524452,4,2
6.552447552447532,69.54545454545433,4,3
6.398601398601378,65.38461538461517,4,4
6.496503496503476,62.454545454545254,4,5
6.8811188811188595,60.77622377622358,4,6
7.650349650349625,60.55944055944037,4,7
8.489510489510463,62.29370629370611,4,8
9.622377622377591,65.73426573426553,4,9
10.797202797202763,71.17482517482495,4,10
11.762237762237726,74.59440559440537,4,11
12.573426573426534,77.97202797202773,4,12
13.146853146853108,80.81118881118856,4,13
13.335664335664294,82.8601398601396,4,14
13.237762237762198,84.34965034965009,4,15
13.055944055944016,85.20979020978994,4,16
12.776223776223738,85.74825174825148,4,17
12.475524475524434,85.93006993006966,4,18
12.244755244755206,85.74825174825148,4,19
11.999999999999961,85.46853146853121,4,20
11.970629370629332,84.6643356643354,4,21
11.931694568058166,84.02797202797176,4,22
11.966179275270147,83.71328671328645,4,23
12.069421487603268,83.95104895104869,5,0
12.087575051211378,84.72727272727246,5,1
11.174486119940632,85.72027972027945,5,2
11.253231616867945,86.31468531468505,5,3
12.002133220314999,86.48951048951022,5,4
13.344267853358721,86.18881118881092,5,5
15.048866285229876,85.32167832167805,5,6
16.899145299145246,83.62237762237736,5,7
18.76923076923071,80.74125874125849,5,8
20.51608391608385,77.23076923076898,5,9
21.79564879564873,73.59440559440536,5,10
22.251748251748182,69.77622377622356,5,11
21.643356643356576,64.32867132867113,5,12
19.853146853146793,60.97202797202779,5,13
16.92307692307687,59.46153846153828,5,14
14.832167832167787,59.27972027972009,5,15
12.776223776223738,60.202797202797015,5,16
11.090909090909056,62.05594405594387,5,17
9.930069930069898,64.45454545454525,5,18
9.265734265734235,67.02097902097881,5,19
9.286713286713258,69.3216783216781,5,20
9.832167832167801,71.10489510489488,5,21
10.545454545454513,71.8111888111886,5,22
11.335664335664301,70.90209790209768,5,23
12.146853146853108,68.34965034965013,6,0
12.678321678321637,67.89510489510468,6,1
13.027972027971988,67.13986013985993,6,2
13.279720279720237,66.11188811188791,6,3
13.671328671328627,64.76223776223756,6,4
13.99300699300695,63.16083916083896,6,5
14.230769230769187,61.34265734265715,6,6
14.230769230769187,59.23076923076904,6,7
14.097902097902054,56.68531468531451,6,8
13.797202797202754,53.69230769230752,6,9
13.23076923076919,50.699300699300544,6,10
12.342657342657304,47.92307692307677,6,11
11.181818181818146,45.95104895104881,6,12
9.706293706293675,44.99300699300686,6,13
8.272727272727247,44.545454545454405,6,14
7.097902097902076,45.01398601398587,6,15
6.167832167832149,45.99300699300685,6,16
5.363636363636347,47.27972027972013,6,17
4.923076923076907,48.48951048951034,6,18
4.825174825174811,49.14685314685299,6,19
5.034965034965019,49.17482517482502,6,20
5.503496503496486,48.89510489510474,6,21
5.9999999999999805,47.93706293706279,6,22
6.342657342657323,46.447552447552304,6,23
6.5804195804195595,44.783216783216645,7,0
6.608391608391588,43.11188811188798,7,1
6.692307692307672,41.52447552447539,7,2
7.055944055944034,40.405594405594286,7,3
7.5874125874125635,39.650349650349526,7,4
8.342657342657317,39.15384615384603,7,5
9.314685314685285,38.7202797202796,7,6
10.342657342657311,38.35664335664323,7,7
11.573426573426538,38.349650349650226,7,8
12.692307692307653,38.587412587412466,7,9
13.349650349650307,38.77622377622365,7,10
13.237762237762196,39.13286713286701,7,11
12.384615384615346,39.39860139860127,7,12
10.986013986013953,39.188811188811066,7,13
9.433566433566405,39.160839160839046,7,14
8.069930069930043,38.95804195804183,7,15
6.839160839160817,38.69930069930058,7,16
5.685314685314667,38.307692307692186,7,17
4.9370629370629215,37.62937062937051,7,18
4.818181818181803,37.13986013986002,7,19
5.384615384615368,37.13286713286702,7,20
6.188811188811169,37.47552447552436,7,21
6.97202797202795,38.265734265734146,7,22
7.524475524475502,39.5244755244754,7,23
8.097902097902073,40.84615384615372,8,0
8.545454545454518,41.95104895104882,8,1
8.874125874125845,43.279720279720145,8,2
9.321678321678291,44.09090909090895,8,3
9.727272727272696,44.68531468531455,8,4
10.006993006992976,44.97902097902083,8,5
10.41258741258738,44.87412587412574,8,6
10.979020979020945,44.77622377622363,8,7
11.510489510489474,44.503496503496365,8,8
12.055944055944018,44.503496503496365,8,9
12.216783216783178,44.41258741258727,8,10
11.944055944055906,44.72727272727259,8,11
11.216783216783183,45.51748251748238,8,12
10.18181818181815,46.608391608391464,8,13
9.062937062937035,47.76223776223761,8,14
8.020979020978995,48.74125874125859,8,15
6.986013986013964,49.53846153846138,8,16
6.195804195804176,50.31468531468516,8,17
5.643356643356626,50.99999999999984,8,18
5.475524475524458,51.15384615384599,8,19
5.734265734265716,50.53146853146838,8,20
6.356643356643336,49.636363636363484,8,21
6.930069930069909,48.72727272727258,8,22
7.41258741258739,47.99999999999985,8,23
7.748251748251725,47.307692307692164,9,0
8.111888111888087,46.79720279720265,9,1
8.58741258741256,46.265734265734125,9,2
9.230769230769202,45.97202797202783,9,3
9.853146853146821,46.06993006992993,9,4
10.664335664335631,46.60839160839146,9,5
11.475524475524441,47.594405594405444,9,6
12.419580419580381,48.95104895104879,9,7
13.489510489510447,50.69930069930054,9,8
14.38461538461534,52.79720279720263,9,9
14.909090909090864,54.874125874125696,9,10
14.81818181818177,56.188811188811016,9,11
14.216783216783172,57.076923076922895,9,12
13.16083916083912,57.720279720279535,9,13
11.825174825174788,57.839160839160655,9,14
10.335664335664303,57.64335664335646,9,15
8.741258741258713,57.21678321678304,9,16
7.258741258741236,56.671328671328496,9,17
6.1048951048950855,56.314685314685136,9,18
5.328671328671311,56.573426573426396,9,19
5.041958041958026,57.02797202797185,9,20
5.083916083916067,57.412587412587236,9,21
5.342657342657326,56.972027972027796,9,22
5.601398601398583,56.28671328671311,9,23
5.937062937062918,55.86013986013968,10,0
6.398601398601378,55.349650349650176,10,1
6.776223776223755,54.825174825174656,10,2
7.167832167832145,54.29370629370612,10,3
7.6573426573426335,53.482517482517316,10,4
8.160839160839135,52.54545454545438,10,5
8.762237762237735,51.57342657342642,10,6
9.391608391608361,50.30069930069915,10,7
9.993006993006961,48.70629370629355,10,8
10.601398601398568,46.832167832167684,10,9
10.94405594405591,44.860139860139725,10,10
